test case							answer
Run [lambda(x y) lambda(x x)]					y
Run [lambda(p [p j]) lambda(x [q x])]				[q j]
Run lambda(x [y x])						y
Run lambda(x lambda(y [x y]))					lambda(x x)
Run [lambda(x x) y]						y
RunNormal [lambda(y x) [lambda(x [x x]) lambda(x [x x])]]	x
Run [lambda(y x) [lambda(x [x x]) lambda(x [x x])]]		infinite loop
Run [lambda(y [lambda(x lambda(y [x y])) y]) [y w]]		[y w]
RunNormal [lambda(y [lambda(x lambda(y [x y])) y]) [y w]]	[y w]
Run lambda(x lambda(y [[z z] y])) 				lambda(x [z z])
Run [[lambda(y lambda(x [y x])) lambda(x [x x])] y]}}		[y y]
Run [[[lambda(b lambda(t lambda(e [[b t] e] lambda(x lambda(y x))] x] y]	x
Run [[[lambda(b lambda(t lambda(e [[b t] e] lambda(x lambda(y y))] x] y]	y
Run [lambda(z z) [lambda(y y) [lambda(x x) y]]]			y
Run [lambda(z [lambda(y z) z]) [lambda(y [y y]) [[z y] y]]]	[[[z [[[z y] y] [[z y] y]]] [[[z y] y] [[z y] y]]] [[z [[[z y] y] [[z y] y]]] [[[z y] y] [[z y] y]]]]
Run lambda(x [lambda(z lambda(y y)) x])				lambda(x lambda(y y))
Run [[lambda(y lambda(y [y x])) y] z]				[z x]
Run [[lambda(x y) [lambda(x x) x]] lambda(z [lambda(x x) y])]	[y lambda(z y)]
Run [lambda(x [[y y] x]) lambda(z [[y y] z])]			[[y y] [y y]]
Run [[lambda(x lambda(y y)) lambda(z z)] y]			y
Run [lambda(y [lambda(z z) [x y]]) [lambda(y [z y]) [[x x] lambda(y y)]]]	[x [z [[x x] lambda(y y)]]]
Run [lambda(z lambda(x lambda(x z))) lambda(x lambda(z lambda(x x)))]	lambda(x lambda(x lambda(x lambda(z lambda(x x)))))
Run [lambda(x [lambda(x [lambda(x [x x]) [x x]]) [x x]]) [x x]]	[[[[x x] [x x]] [[x x] [x x]]] [[[x x] [x x]] [[x x] [x x]]]]
Run lambda(x [[lambda(x [y x]) lambda(x [z x])] x])}}		[y z]
